"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"3",27,2,1,3,1,1,2,0,1,2,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,1
"7",31,2,1,3,1,2,2,-1,1,1,20,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,1
"10",34,2,1,2,1,4,1,-1,2,2,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,1
"14",38,2,1,2,1,5,0,1,1,1,10,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,1
"18",42,2,1,2,1,9,2,0,0,2,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,1
"23",47,2,1,3,1,12,0,0,1,3,5,1,0,1,20800,1,1,4,10,5,6,7,100,0.6770833,1,1,0,6,65,5,4,5.230769231,1,"Middleton_Control",10,10,5,0,2,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,1
"25",49,3,2,1,1,1,1,0,1,2,20,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,2
"31",55,3,2,3,1,2,2,-1,1,1,20,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,2
"35",59,3,2,3,1,4,1,1,0,0,40,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,2
"37",61,3,2,1,1,5,2,-1,2,2,20,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,4,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,2
"41",65,3,2,1,1,9,2,0,0,0,10,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,2
"45",69,3,2,1,1,12,0,0,1,0,10,1,0,3,31200,2,2,2,15,5,6,24,100,0.6777778,2,3,1,5,55,5,1,4,0,"St_Marks_Perrenial",16,15,5,0,1,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,2
"49",73,4,3,1,1,1,1,0,1,2,20,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,3
"53",77,4,3,1,1,2,0,1,2,3,60,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,3
"57",81,4,3,1,1,4,0,0,0,1,0,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,3,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,3
"62",86,4,3,2,1,5,0,1,1,1,10,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,3
"67",91,4,3,3,1,9,0,0,2,2,60,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,3
"71",95,4,3,3,1,12,0,0,1,3,5,1,0,3,20800,2,2,5,30,60,11,24,75,0.6777778,5,5,0,1,18,5,1,6.461538462,1,"St_Marks_Perrenial",16,30,60,0,5,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,3
"75",99,5,4,3,1,1,2,0,1,2,5,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,4
"79",103,5,4,3,1,2,2,-1,1,1,20,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,4
"82",106,5,4,2,1,4,1,-1,2,2,5,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,4
"86",110,5,4,2,1,5,0,1,1,1,10,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,4
"89",113,5,4,1,1,9,2,0,0,0,10,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,4
"95",119,5,4,3,1,12,0,0,1,3,5,1,0,3,15559,2,2,2,5,10,6,24,75,0.6777778,4,3,1,3,35,5,1,4.692307692,0,"St_Marks_Perrenial",16,5,10,0,1,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,4
"99",123,6,5,3,1,1,2,0,1,2,5,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,5
"103",127,6,5,3,1,2,2,-1,1,1,20,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,5
"106",130,6,5,2,1,4,1,-1,2,2,5,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,3,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,5
"110",134,6,5,2,1,5,0,1,1,1,10,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,5
"113",137,6,5,1,1,9,2,0,0,0,10,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,5
"117",141,6,5,1,1,12,0,0,1,0,10,1,0,3,36400,2,2,5,5,20,6,24,75,0.6777778,3,4,1,4,45,5,1,4,1,"St_Marks_Perrenial",16,5,20,0,1,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,5
"121",145,7,6,1,1,1,1,0,1,2,20,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,6
"127",151,7,6,3,1,2,2,-1,1,1,20,1,0,3,-999,2,2,1,10,10,1,24,100,0.6777778,3,4,0,6,65,6,4,4.461538462,0,"St_Marks_Perrenial",16,10,10,0,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,6
