"","oid","card","choice1","cost1","sq1","mplants1","hplants1","lnative1","hnative1","mpollin1","hpollin1","whiapp1","bluapp1","allapp1","av1","choice2","cost2","sq2","mplants2","hplants2","lnative2","hnative2","mpollin2","hpollin2","whiapp2","bluapp2","allapp2","av2","choice3","cost3","sq3","mplants3","hplants3","lnative3","hnative3","mpollin3","hpollin3","whiapp3","bluapp3","allapp3","av3","choice4","cost4","sq4","mplants4","hplants4","lnative4","hnative4","mpollin4","hpollin4","whiapp4","bluapp4","allapp4","av4","choice","asc1","asc2","asc3","asc4"
"1",2,1,0,20,0,1,0,0,0,1,0,0,1,0,1,0,60,0,0,0,0,1,1,0,1,0,0,1,1,5,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0
"2",2,2,0,60,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,20,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0
"3",2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,0,1,0,1,0,0,1,0,1,0,1,0,40,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0
"4",2,5,0,20,0,0,1,1,0,0,1,0,1,0,1,1,10,0,0,0,0,1,1,0,1,0,0,1,0,20,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0
"5",2,9,0,10,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,1,0,0,0,0,0,1,0,1,0,60,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0
"6",2,12,0,10,0,0,0,0,0,1,0,0,0,0,1,0,60,0,0,1,1,0,0,1,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0
"7",3,1,1,20,0,1,0,0,0,1,0,0,1,0,1,0,60,0,0,0,0,1,1,0,1,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"8",3,2,0,60,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,20,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0
"9",3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,1,0,0,1,0,1,0,1,1,40,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0
"10",3,5,1,20,0,0,1,1,0,0,1,0,1,0,1,0,10,0,0,0,0,1,1,0,1,0,0,1,0,20,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
